Size,Over_65,Total
1,0,41072.00
1,0,4122259.00
1,1,2903930.00
2,0,51140.00
2,0,1729852.00
2,1,50566.00
2,0,8256088.00
2,1,1999054.00
2,2,3909362.00
3,0,18834.00
3,0,1575270.00
3,1,4674.00
3,0,5096628.00
3,1,109878.00
3,2,23877.00
3,0,2875080.00
3,1,586602.00
3,2,589704.00
3,3,44160.00
4,0,6204.00
4,0,766520.00
4,1,1316.00
4,0,7961816.00
4,1,51732.00
4,2,3844.00
4,0,1426644.00
4,1,122896.00
4,2,30972.00
4,3,612.00
4,0,1418092.00
4,1,191992.00
4,2,126352.00
4,3,10052.00
4,4,5268.00
5,0,3740.00
5,0,298505.00
5,1,460.00
5,0,3178085.00
5,1,16320.00
5,2,910.00
5,0,715110.00
5,1,112645.00
5,2,10550.00
5,3,85.00
5,0,489550.00
5,1,63080.00
5,2,33330.00
5,3,720.00
5,4,70.00
5,0,405150.00
5,1,61470.00
5,2,28880.00
5,3,3275.00
5,4,1375.00
5,5,2630.00
6,0,2028.00
6,0,113442.00
6,1,168.00
6,0,1091268.00
6,1,6804.00
6,2,186.00
6,0,300270.00
6,1,55242.00
6,2,2976.00
6,3,24.00
6,0,255492.00
6,1,48990.00
6,2,42822.00
6,3,312.00
6,4,12.00
6,0,155718.00
6,1,28896.00
6,2,13692.00
6,3,732.00
6,4,84.00
6,5,36.00
6,0,164826.00
6,1,21660.00
6,2,10674.00
6,3,1206.00
6,4,540.00
6,5,642.00
6,6,1962.00
7,0,336.00
7,0,28385.00
7,1,21.00
7,0,251363.00
7,1,1722.00
7,2,28.00
7,0,81277.00
7,1,17199.00
7,2,497.00
7,3,7.00
7,0,75817.00
7,1,15918.00
7,2,15561.00
7,3,56.00
7,4,0.00
7,0,54740.00
7,1,12915.00
7,2,7322.00
7,3,630.00
7,4,0.00
7,5,0.00
7,0,33418.00
7,1,7189.00
7,2,3647.00
7,3,259.00
7,4,84.00
7,5,21.00
7,6,7.00
7,0,34111.00
7,1,3794.00
7,2,2128.00
7,3,329.00
7,4,84.00
7,5,84.00
7,6,105.00
7,7,84.00
8,0,696.00
8,0,9688.00
8,1,16.00
8,0,89824.00
8,1,760.00
8,2,24.00
8,0,30728.00
8,1,6728.00
8,2,160.00
8,3,0.00
8,0,32752.00
8,1,6528.00
8,2,5440.00
8,3,32.00
8,4,8.00
8,0,25480.00
8,1,6688.00
8,2,3336.00
8,3,248.00
8,4,0.00
8,5,0.00
8,0,21968.00
8,1,5080.00
8,2,2688.00
8,3,168.00
8,4,32.00
8,5,0.00
8,6,0.00
8,0,12544.00
8,1,2824.00
8,2,1224.00
8,3,64.00
8,4,16.00
8,5,0.00
8,6,0.00
8,7,0.00
8,0,14152.00
8,1,1384.00
8,2,768.00
8,3,104.00
8,4,32.00
8,5,32.00
8,6,24.00
8,7,32.00
8,8,64.00
9,0,81.00
9,0,3231.00
9,1,18.00
9,0,35199.00
9,1,315.00
9,2,0.00
9,0,13392.00
9,1,2466.00
9,2,45.00
9,3,0.00
9,0,14535.00
9,1,2493.00
9,2,1719.00
9,3,9.00
9,4,0.00
9,0,11763.00
9,1,3564.00
9,2,1512.00
9,3,99.00
9,4,9.00
9,5,0.00
9,0,12312.00
9,1,3285.00
9,2,1548.00
9,3,126.00
9,4,9.00
9,5,0.00
9,6,0.00
9,0,8622.00
9,1,2718.00
9,2,1080.00
9,3,135.00
9,4,27.00
9,5,0.00
9,6,0.00
9,7,0.00
9,0,4383.00
9,1,1170.00
9,2,486.00
9,3,54.00
9,4,0.00
9,5,0.00
9,6,9.00
9,7,0.00
9,8,0.00
9,0,5400.00
9,1,711.00
9,2,405.00
9,3,135.00
9,4,27.00
9,5,54.00
9,6,0.00
9,7,9.00
9,8,27.00
9,9,9.00
10,0,180.00
10,0,1400.00
10,1,0.00
10,0,15270.00
10,1,110.00
10,2,0.00
10,0,5430.00
10,1,910.00
10,2,10.00
10,3,7220.00
10,0,0.00
10,1,960.00
10,2,470.00
10,3,0.00
10,4,0.00
10,0,5920.00
10,1,1620.00
10,2,570.00
10,3,20.00
10,4,0.00
10,5,0.00
10,0,7290.00
10,1,2110.00
10,2,1440.00
10,3,20.00
10,4,10.00
10,5,0.00
10,6,0.00
10,0,5180.00
10,1,1810.00
10,2,800.00
10,3,50.00
10,4,20.00
10,5,0.00
10,6,0.00
10,7,0.00
10,0,3310.00
10,1,1090.00
10,2,400.00
10,3,130.00
10,4,20.00
10,5,0.00
10,6,0.00
10,7,0.00
10,8,0.00
10,0,1550.00
10,1,420.00
10,2,180.00
10,3,10.00
10,4,0.00
10,5,0.00
10,6,0.00
10,7,0.00
10,8,10.00
10,9,0.00
10,0,2190.00
10,1,300.00
10,2,110.00
10,3,10.00
10,4,40.00
10,5,30.00
10,6,20.00
10,7,10.00
10,8,20.00
10,9,30.00
10,10,60.00
