"","Country","Supp_0.2_Inc_Abs","Supp_0.2_Death_Abs","Supp_0.2_Total_Hosp_Abs","Supp_0.2_Max_Hosp_Abs","Supp_0.2_Total_ICU_Abs","Supp_0.2_Max_ICU_Abs"
"1","Afghanistan",2356700,7208,46011,13428,9773,2635
"2","Albania",265461,1108,6952,2154,1461,407
"3","Algeria",2492642,10318,69364,19733,13988,3637
"4","Angola",3071870,7498,51736,15298,10029,2682
"5","Antigua and Barbuda",5533,21,122,35,27,7
"6","Argentina",3687144,14481,80469,24605,19730,5435
"7","Armenia",240499,876,5946,1774,1183,327
"8","Aruba",5844,29,158,47,38,10
"9","Australia",1653688,6882,42721,12571,9146,2459
"10","Austria",705814,3493,20782,6386,4844,1323
"11","Azerbaijan",1047257,3236,23959,7297,4257,1193
"12","Bahamas",26871,90,565,170,121,33
"13","Bahrain",154004,568,4458,1335,772,217
"14","Bangladesh",12435481,52141,309764,90867,69062,17358
"15","Barbados",14296,83,398,119,108,28
"16","Belarus",445504,1864,12121,3406,2574,644
"17","Belgium",443856,2834,15709,4419,3770,980
"18","Belize",42732,114,736,230,151,42
"19","Benin",1170030,3340,21847,6589,4458,1232
"20","Bhutan",63003,278,1575,460,364,95
"21","Bolivia",808289,2401,14497,4265,3279,888
"22","Bosnia and Herzegovina",151655,685,4267,1208,919,237
"23","Botswana",183308,604,3833,1117,798,215
"24","Brazil",11457197,44212,250182,72398,57423,15432
"25","Brunei Darussalam",30777,129,902,258,173,46
"26","Bulgaria",360375,1764,10607,3112,2414,651
"27","Burkina Faso",1425866,3570,24747,7083,4818,1243
"28","Burundi",1184813,3005,20484,6234,3923,1062
"29","Cabo Verde",38566,142,877,254,189,48
"30","Cambodia",1109183,4116,29104,8344,5480,1510
"31","Cameroon",2488091,6570,44774,13526,8637,2422
"32","Canada",1462914,8143,45625,13023,10598,2740
"33","Central African Republic",462645,1242,8117,2433,1597,433
"34","Chad",1965297,4915,33291,10422,6606,1928
"35","Channel Islands",14046,67,395,120,87,24
"36","Chile",1303428,5733,31399,9571,7610,2052
"37","China",43323214,219209,1445585,397037,301466,74053
"38","Hong Kong SAR, China",206314,2417,10841,3103,3265,813
"39","Macao SAR, China",37169,201,1291,369,269,69
"40","China, Taiwan Province of China",928287,5485,32690,8987,7126,1739
"41","Colombia",3111145,11166,64766,18982,14603,3737
"42","Comoros",52657,147,1000,285,193,51
"43","Congo, Rep.",690619,1864,12887,4018,2483,715
"44","Costa Rica",267395,1024,6020,1778,1425,378
"45","Cote d'Ivoire",1992505,5390,36328,10623,7126,1927
"46","Croatia",152837,760,4416,1302,1038,281
"47","Cuba",600215,3331,17219,5240,4476,1224
"48","Curacao",7051,40,198,58,53,14
"49","Cyprus",81404,327,2069,621,432,119
"50","Czechia",845363,4013,24319,7369,5356,1439
"51","Korea, Dem. People’s Rep.",1525316,7350,47864,13646,9729,2482
"52","Congo, Dem. Rep.",9608461,26506,171344,52196,35292,10103
"53","Denmark",279819,1335,7792,2234,1777,462
"54","Djibouti",97837,331,2177,662,442,124
"55","Dominican Republic",936302,2994,17867,5439,3987,1103
"56","Ecuador",1418198,4486,26963,8259,5868,1653
"57","Egypt",7296397,26428,164636,48159,35142,9231
"58","El Salvador",733049,2483,14392,4655,3349,943
"59","Equatorial Guinea",129217,334,2365,699,439,120
"60","Eritrea",172518,554,3377,959,733,191
"61","Estonia",76776,382,2171,641,511,132
"62","Eswatini",101459,314,1963,575,415,113
"63","Ethiopia",8886668,25562,167508,48946,34794,9375
"64","Fiji",50580,203,1397,399,267,70
"65","Finland",271929,1329,8336,2389,1781,458
"66","France",2765828,21517,108207,30894,29128,7317
"67","French Guiana",44694,122,807,270,163,49
"68","French Polynesia",19420,92,587,170,119,32
"69","Gabon",137700,416,2771,783,552,142
"70","Gambia",231794,602,4055,1214,775,219
"71","Georgia",327649,1371,8578,2579,1820,509
"72","Germany",3266137,22571,119882,33878,29014,7587
"73","Ghana",2554925,7260,50368,14760,9743,2680
"74","Greece",634950,3451,19408,5776,4664,1269
"75","Grenada",7649,29,165,50,38,11
"76","Guadeloupe",19589,122,565,169,160,43
"77","Guam",6947,33,205,58,42,11
"78","Guatemala",1751609,4546,28109,8513,5923,1646
"79","Guinea",1503365,4093,26674,8327,5349,1542
