,Country,Unmit_Inc_Abs,Unmit_Death_Abs,Unmit_Total_Hosp_Abs,Unmit_Max_Hosp_Abs,Unmit_Total_ICU_Abs,Unmit_Max_ICU_Abs
1,Afghanistan,36140196,76973,567916,240272,102693,39621
2,Albania,2464424,19300,97298,36061,25569,8024
3,Algeria,38824343,191145,1118956,459923,253553,90068
4,Angola,30110663,57385,438605,183326,75970,29050
5,Antigua and Barbuda,84247,504,2795,1048,667,215
6,Argentina,39126816,259966,1276885,489073,342159,110413
7,Armenia,2603481,18054,95101,35775,24020,7685
8,Aruba,88963,737,3715,1396,981,310
9,Australia,21991217,185236,881939,330675,244401,76396
10,Austria,7559177,76313,350262,129800,100950,30976
11,Azerbaijan,9102969,43606,276438,104967,57585,19143
12,Bahamas,340746,1789,10526,3943,2381,769
13,Bahrain,1542640,4381,39064,15845,5837,2190
14,Bangladesh,154022806,640815,3930633,1649241,850522,313157
15,Barbados,238847,2287,10319,3936,3034,951
16,Belarus,8118548,68045,341478,126904,90009,28279
17,Belgium,10305691,110545,489543,195265,146624,48557
18,Belize,353490,1316,8122,3134,1748,585
19,Benin,11180031,28492,194397,81572,38086,14233
20,Bhutan,721036,3279,18912,7959,4366,1588
21,Bolivia,10362045,49399,263020,102139,65645,21745
22,Bosnia and Herzegovina,2778822,25239,124898,46051,33536,10404
23,Botswana,2185830,7172,47521,19740,9495,3476
24,Brazil,182791505,1102439,5975916,2248613,1465863,469512
25,Brunei Darussalam,397650,1785,12042,4969,2365,865
26,Bulgaria,5813959,59835,276774,102010,79185,24336
27,Burkina Faso,19217285,38156,291903,122046,50935,19354
28,Burundi,10898277,21496,161782,67626,28486,10805
29,Cabo Verde,515151,2008,12581,5193,2647,962
30,Cambodia,14764027,54949,365432,149919,72454,26304
31,Cameroon,24484798,53694,395803,165183,70597,26637
32,Canada,33067353,326322,1509416,588836,433148,140912
33,Central African Republic,4459268,9953,69496,29236,13092,4958
34,Chad,15039833,30223,217409,91537,39627,14974
35,Channel Islands,147500,1384,6554,2429,1835,568
36,Chile,16207664,118765,592342,223725,157185,49782
37,China,1300804549,9890457,53821210,21549628,13123394,4531927
38,"Hong Kong SAR, China",7034214,88802,383785,169089,117912,43311
39,"Macao SAR, China",587661,4685,25574,10239,6213,2144
40,"China, Taiwan Province of China",21387957,212338,1025106,403488,280895,93378
41,Colombia,44096507,252064,1364689,515744,333972,108414
42,Comoros,804559,2017,14523,6059,2678,1007
43,"Congo, Rep.",5096722,11779,88504,36711,15512,5842
44,Costa Rica,4365461,28049,147023,55398,37111,11835
45,Cote d'Ivoire,24320357,55233,403555,168588,73470,27588
46,Croatia,3424974,36127,162878,60312,47878,14662
47,Cuba,9353709,86419,408509,154360,114722,36028
48,Curacao,136542,1328,6030,2311,1759,558
49,Cyprus,1046888,8029,40519,15089,10657,3347
50,Czechia,9050655,86700,411771,152187,114839,35369
51,"Korea, Dem. People’s Rep.",23152081,157944,872256,350112,209599,72399
52,"Congo, Dem. Rep.",82164295,194156,1322652,557103,255863,97031
53,Denmark,4854981,48190,219266,81321,63846,19596
54,Djibouti,916137,3278,21705,8949,4335,1585
55,Dominican Republic,9556193,47536,261450,100437,62769,20674
56,Ecuador,15536231,76661,422481,162098,101482,33536
57,Egypt,94671014,362330,2250129,936058,480573,175631
58,El Salvador,5692694,30611,159333,61416,40371,13239
59,Equatorial Guinea,1287098,2608,21009,8630,3426,1292
60,Eritrea,3291069,10340,62547,26480,13680,5099
61,Estonia,1116452,11444,50954,19039,15137,4693
62,Eswatini,1079088,3148,19901,8419,4141,1545
63,Ethiopia,106264340,281678,1863037,784029,375529,138813
64,Fiji,799467,3494,22692,9292,4650,1672
65,Finland,4662980,46008,215475,80614,61080,19032
66,France,59173552,731625,2987758,1233274,967239,328557
67,French Guiana,265602,1016,6420,2455,1342,449
