"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"1",2,2.7,"unmitigated",1,0,0,1.52499999999999,0,0,0,0,0,1.52499999999999,0,0,0,0,0,0,0,0,0
"2",2,2.7,"unmitigated",2,0,2,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"3",2,2.7,"unmitigated",3,0,3,7,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0
"4",2,2.7,"unmitigated",4,1,4,9,0,0,0,1,4,9,0,0,0,0,0,0,0,0,0
"5",2,2.7,"unmitigated",5,1,5,11.525,0,0,1,1,5,11.525,0,0,1,0,0,0,0,0,0
"6",2,2.7,"unmitigated",6,1.475,7,14.525,0,0,0,1.475,7,14.525,0,0,1,0,0,0,0,0,0
"7",2,2.7,"unmitigated",7,1.475,8,17,0,0,1,1.475,8,17,0,0,0,0,0,0,0,0,0
"8",2,2.7,"unmitigated",8,2,9,18.525,0,0,1,2,9,18.525,0,0,0,0,0,1,0,0,0
"9",2,2.7,"unmitigated",9,3,10,19.525,0,0,1,3,10,19.525,0,0,1,0,0,1,0,0,0
"10",2,2.7,"unmitigated",10,4.475,13,24,0,0,1,4.475,13,24,0,0,0,0,0,2,0,0,0
"11",2,2.7,"unmitigated",11,4,15,33.625,0,0,1,4,15,33.625,0,0,0,0,0,2,0,0,0
"12",2,2.7,"unmitigated",12,4.425,19,35,0,0,1,4.425,19,35,0,0,1,0,0,3,0,0,0
"13",2,2.7,"unmitigated",13,5.475,20,42.05,0,0,1,5.475,20,42.05,0,0,1,0,1,3,0,0,0
"14",2,2.7,"unmitigated",14,7.95,26,45.525,0,0,1,7.95,26,45.525,0,0,1,0,1,3.52499999999999,0,0,0
"15",2,2.7,"unmitigated",15,7.425,30,58,0,0,1,7.425,30,58,0,0,1,0,1,4,0,0,0
"16",2,2.7,"unmitigated",16,12,33,69.05,0,0,1,12,33,69.05,0,0,1,0,1,4,0,0,0
"17",2,2.7,"unmitigated",17,13.425,41,86.1,0,0,1,13.425,41,86.1,0,0,1,0,2,5,0,0,0
"18",2,2.7,"unmitigated",18,12.425,50,97.575,0,0,1,12.425,50,97.575,0,0,1,0,2,5,0,0,1
"19",2,2.7,"unmitigated",19,17.8,57.5,116.45,0,0,2,17.8,57.5,116.45,0,0,1,0,2,5,0,0,1
"20",2,2.7,"unmitigated",20,19.325,69.5,135.1,0,0,1,19.325,69.5,135.1,0,0,1,0,3,5.52499999999999,0,0,1
"21",2,2.7,"unmitigated",21,24.7,84.5,166.575,0,0,1,24.7,84.5,166.575,0,0,1,0,3,6.52499999999999,0,0,1
"22",2,2.7,"unmitigated",22,27.425,97.5,185.05,0,0,2,27.425,97.5,185.05,0,0,1.52499999999999,0,3,7.52499999999999,0,0,1
"23",2,2.7,"unmitigated",23,27.175,123,242.575,0,0,2,27.175,123,242.575,0,0,2,0,4,9.04999999999998,0,0,1
"24",2,2.7,"unmitigated",24,36.6,142.5,275.3,0,0,3,36.6,142.5,275.3,0,0,2,0.475,5,10.525,0,0,1
"25",2,2.7,"unmitigated",25,56.475,171.5,321.775,0,0,2,56.475,171.5,321.775,0,0,2.52499999999999,1,6,13.05,0,0,1
"26",2,2.7,"unmitigated",26,60.3,203.5,393.35,0,0,3,60.3,203.5,393.35,0,1,3.52499999999999,1,7,15,0,0,1
"27",2,2.7,"unmitigated",27,66.8,238,452.2,0,0,3,66.8,238,452.2,0,1,3,1.475,8,16.525,0,0,2
"28",2,2.7,"unmitigated",28,73.7,275,543.15,0,1,3,73.7,275,543.15,0,1,4,2,10,18,0,0,2
"29",2,2.7,"unmitigated",29,97.825,341,645.85,0,1,3,97.825,341,645.85,0,1,4,2.475,11,22.525,0,0,2
"30",2,2.7,"unmitigated",30,94.725,405,777.4,0,1,3.52499999999999,94.725,405,777.4,0,1,5,3,14.5,25,0,1,2
"31",2,2.7,"unmitigated",31,133.325,485.5,923.2,0,1,5.52499999999999,133.325,485.5,923.2,0,2,5.52499999999999,3.95,17,32.05,0,1,2
"32",2,2.7,"unmitigated",32,158.475,550,1129.525,0,1,5,158.475,550,1129.525,0,2,5,5.95,21,39.525,0,1,3
"33",2,2.7,"unmitigated",33,182.075,677.5,1317.625,0,2,5,182.075,677.5,1317.625,0,2,6,8,23.5,42.525,0,1,3
"34",2,2.7,"unmitigated",34,223.025,805,1589.35,0,2,6.52499999999999,223.025,805,1589.35,0,3,8,9,29,53.525,0,1,3
"35",2,2.7,"unmitigated",35,256.25,953,1865.8,0,2,7.52499999999999,256.25,953,1865.8,0,3,9,8.475,34,64,0,1.5,4.52499999999999
"36",2,2.7,"unmitigated",36,332.45,1166.5,2260.325,0,3,10,332.45,1166.5,2260.325,0,4,9,9.475,41,75.05,0,2,5.52499999999999
"37",2,2.7,"unmitigated",37,368.7,1364,2738.65,0,4,8.52499999999999,368.7,1364,2738.65,0.475,5,10,12,48.5,85.575,0,2,6
"38",2,2.7,"unmitigated",38,440.3,1635,3152.95,0,4,10,440.3,1635,3152.95,1,5.5,14.525,13.475,57,104.525,0,2,7
"39",2,2.7,"unmitigated",39,542.875,1948,3753.4,0.475,5.5,13,542.875,1948,3753.4,2,7,15.525,17.95,71.5,124.05,0,3,8
"40",2,2.7,"unmitigated",40,610.25,2347.5,4465.8,1,6,15,610.25,2347.5,4465.8,1,8,17.525,20.425,82,152.1,0,3.5,10
"41",2,2.7,"unmitigated",41,760.625,2784.5,5364.875,2,7,16.525,760.625,2784.5,5364.875,1.475,10,21,25.85,100,186.575,0,5,11.525
"42",2,2.7,"unmitigated",42,913.65,3382.5,6400.6,2,9,21,913.65,3382.5,6400.6,2.475,12,23.525,34.75,116,212.525,0,5.5,13
"43",2,2.7,"unmitigated",43,1065.15,3943,7579.9,2,10,21,1065.15,3943,7579.9,3.95,13.5,29,43.8,137.5,257.025,0,7,15.525
"44",2,2.7,"unmitigated",44,1281.75,4683.5,9129.725,2,12.5,27.525,1281.75,4683.5,9129.725,4.475,17,34.575,51.7,162.5,324.1,1,8,18.525
"45",2,2.7,"unmitigated",45,1554.325,5700,10875.075,3.95,15,35.05,1554.325,5700,10875.075,3.475,20.5,41,57.6,192.5,382.35,1.475,10,20.525
"46",2,2.7,"unmitigated",46,1779.95,6733,12950,3,17,36,1779.95,6733,12950,6.425,23.5,48.525,65.125,232,456.525,2,12,23.525
"47",2,2.7,"unmitigated",47,2184.925,7996,15361.025,3.475,22,43,2184.925,7996,15361.025,8,30.5,59.6749999999999,77.65,274.5,546.525,3.475,15,27.525
