"","country","R0","output_type","time","unmitigated","supp_1_time","supp_2_time","supp_4_time","supp_8_time","supp_16_time","supp_32_time"
"1",2,2.7,"lower_inc",1,0,0,0,0,0,0,0
"2",2,2.7,"lower_inc",2,0,0,0,0,0,0,0
"3",2,2.7,"lower_inc",3,1,0,1,0.475,0.475,0.475,1
"4",2,2.7,"lower_inc",4,1.475,1,1,1,1,0.475,1
"5",2,2.7,"lower_inc",5,1.475,2,1,1,0.95,1,2
"6",2,2.7,"lower_inc",6,2,2,2,2,2,2,2
"7",2,2.7,"lower_inc",7,2.475,2,3,3,2.475,1.475,2.475
"8",2,2.7,"lower_inc",8,2.475,2,3.475,2.475,1.95,4,2.475
"9",2,2.7,"lower_inc",9,2,2.475,4,3,3,3.475,4
"10",2,2.7,"lower_inc",10,3,3.95,3,4,4,4,4
"11",2,2.7,"lower_inc",11,3.425,4,5,6.475,5,5.475,6
"12",2,2.7,"lower_inc",12,4.475,5.475,7,6.475,6,7,8
"13",2,2.7,"lower_inc",13,5.475,4.95,8,9,7.95,7.475,10.475
"14",2,2.7,"lower_inc",14,6,8.425,6.95,6.475,11,8.95,10.375
"15",2,2.7,"lower_inc",15,8.475,8.425,10.475,9,12.475,10.475,12.475
"16",2,2.7,"lower_inc",16,9,9.425,13.475,15,10.475,12.9,14.475
"17",2,2.7,"lower_inc",17,10.9,11.475,13,13.95,16.475,17.425,14.85
"18",2,2.7,"lower_inc",18,16.95,12.475,17.475,15.425,20.475,24,20.325
"19",2,2.7,"lower_inc",19,11.8,21.425,22.9,21,18.95,19.375,22.425
"20",2,2.7,"lower_inc",20,17.85,21.475,25.475,27,21,27.275,24.325
"21",2,2.7,"lower_inc",21,21.475,29.475,31.475,26.475,33,31.9,32.95
"22",2,2.7,"lower_inc",22,26.375,34.475,36.475,27.375,42.475,44.475,35.475
"23",2,2.7,"lower_inc",23,30.65,30.85,41.475,38.475,44.9,52.475,37.75
"24",2,2.7,"lower_inc",24,35.65,48.475,50.425,45.425,51.9,61.85,50.9
"25",2,2.7,"lower_inc",25,42.425,56.275,59.95,47.95,63,70.8,71.425
"26",2,2.7,"lower_inc",26,43.8,62.475,72.175,64.475,74,85.425,75.45
"27",2,2.7,"lower_inc",27,60.3,68.425,86.65,73.375,86.9,108.9,83.125
"28",2,2.7,"lower_inc",28,72.35,75.75,97.225,104,114.95,111.225,111.775
"29",2,2.7,"lower_inc",29,83.675,126.325,117.925,99.225,121.225,141.175,132.4
"30",2,2.7,"lower_inc",30,102.175,128.025,134.475,135.975,144.475,164.475,156.95
"31",2,2.7,"lower_inc",31,126.85,149.225,160.95,138.95,176.425,193.075,166.875
"32",2,2.7,"lower_inc",32,161.85,191.425,207.275,181.85,214.925,222.225,230.725
"33",2,2.7,"lower_inc",33,179.275,218.175,231.4,197.5,250.8,286.2,257.5
"34",2,2.7,"lower_inc",34,217.875,286.95,266.55,242.725,309.975,333.475,305.55
"35",2,2.7,"lower_inc",35,257.75,313.85,338.5,309.325,382.7,392.45,372.125
